7420812993,1009,7389376953,996
7187798295,873,7308995774,1045
7121303988,809,7524904909,1035
7258375357,799,7593738191,1084
7093055804,804,7283888694,1071
7140163760,951,7486536349,1034
7194126352,828,7282792864,993
7218941723,798,7228186218,1026
7097294825,847,7413742340,1012
7179853567,833,7390522942,1048
7302821302,816,7357132170,1012
7228015556,826,7523653206,1004
7129815958,861,7493922435,1046
7352861807,816,7493561389,1002
7194298998,832,7335504222,1067
7340232748,818,7467661669,1058
7277591637,737,7584247360,1013
7191194042,926,7425621856,1014
7080731039,852,7509711651,1004
7247991965,863,7425339456,1048
7169682532,823,7465877686,1029
7144554926,791,7348712826,1055
7211291631,822,7257075934,1006
7084311738,826,7359464198,1025
7376932512,877,7344193645,1014
7304155479,855,7383148539,1047
7187444989,826,7414098076,1007
7210646579,807,7279776527,1035
7019760757,744,7374888902,1055
7152817335,818,7512615529,1041
7230563243,803,7566454237,1000
7218038609,802,7360210563,1013
7117650134,792,7421044793,1002
7213680327,900,7390459860,1059
7187642485,892,7442569650,1061
7085967008,847,7443568105,1032
7249433706,832,7285403890,1093
7125076580,730,7392846529,1034
7190363396,898,7550293305,1006
7091533634,844,7395993537,1049
7314167655,724,7397114622,1076
7310775609,850,7390820023,985
7129394775,938,7368271623,1075
7095241255,895,7380110063,1024
7181272457,781,7521422843,1034
7179912877,783,7384291398,1036
7238870617,790,7419352300,1053
7251180466,813,7298477163,1046
7294485891,839,7437169690,1040
7373018228,890,7382275907,1024
